Label,Driving Hours,Driving Distance
1,"[[16.0, 18.5]]",30
2,"[[13.5, 14.0]]",30
3,"[[9.5, 23.0]]",30
4,"[[14.0, 23.0]]",30
5,"[[10.0, 16.5]]",30
6,"[[15.0, 19.5]]",30
7,"[[14.0, 21.0], [21.5, 23.5]]",30
8,"[[10.5, 13.5]]",30
9,"[[1.5, 18.5], [19.5, 22.5]]",30
10,"[[15.0, 22.0]]",50
11,"[[9.0, 23.5]]",30
12,"[[15.5, 21.5]]",30
13,"[[15.0, 21.0]]",30
14,"[[9.0, 20.0]]",30
15,"[[9.5, 22.0]]",30
16,"[[10.5, 21.5]]",30
17,"[[10.5, 23.5], [23.5, 24.0]]",30
18,"[[15.5, 22.0]]",30
19,"[[9.0, 23.5]]",30
20,"[[10.0, 20.0], [20.5, 22.0]]",30
21,"[[12.0, 16.5]]",100
22,"[[12.0, 22.5], [23.0, 23.5]]",50
23,"[[6.5, 23.5]]",50
24,"[[15.0, 19.5], [20.0, 23.5]]",100
25,"[[7.5, 23.0]]",30
26,"[[14.0, 16.5]]",30
27,"[[10.5, 19.0]]",30
28,"[[13.5, 14.5]]",50
29,"[[8.0, 13.0], [15.5, 20.5]]",30
30,"[[13.5, 15.5]]",30
31,"[[11.0, 12.0]]",30
32,"[[13.0, 22.0]]",30
33,"[[10.5, 21.0], [21.0, 22.0]]",30
34,"[[14.5, 22.5]]",30
35,"[[11.5, 20.5]]",30
36,"[[14.0, 17.5], [18.5, 23.0]]",30
37,"[[10.0, 22.0]]",50
38,"[[10.0, 22.5], [23.5, 24.0]]",30
39,"[[4.0, 21.0], [21.0, 23.0]]",50
40,"[[11.5, 16.5]]",50
41,"[[11.0, 17.0]]",30
42,"[[2.5, 20.5], [20.5, 22.0]]",30
43,"[[14.5, 19.5]]",30
44,"[[10.5, 21.0], [23.0, 23.5]]",30
45,"[[12.5, 23.5]]",30
46,"[[10.0, 23.5]]",100
47,"[[14.0, 19.0]]",30
48,"[[9.0, 20.0]]",30
49,"[[10.5, 21.5], [23.5, 24.0]]",30
50,"[[12.5, 20.5]]",50
51,"[[10.5, 19.0]]",30
52,"[[8.0, 16.0], [18.5, 21.5]]",30
53,"[[8.5, 14.5], [18.5, 19.0]]",30
54,"[[20.0, 23.0]]",30
55,"[[15.0, 20.5], [20.5, 22.0]]",30
56,"[[15.5, 19.0]]",100
57,"[[7.5, 18.0], [18.5, 23.5]]",30
58,"[[19.0, 23.0]]",30
59,"[[9.0, 16.0]]",30
60,"[[7.0, 23.0]]",30
61,"[[13.0, 21.0], [23.0, 23.5]]",50
62,"[[9.0, 23.5]]",30
63,"[[13.0, 20.5]]",50
64,"[[18.5, 21.0], [21.0, 22.0]]",100
65,"[[9.0, 22.0], [23.5, 24.0]]",30
66,"[[15.5, 23.5]]",50
67,"[[8.0, 10.5]]",50
68,"[[12.0, 13.5], [14.5, 22.0]]",50
69,"[[11.5, 20.5], [20.5, 21.0]]",30
70,"[[17.0, 18.0]]",50
71,"[[6.5, 23.0]]",50
72,"[[11.5, 12.5]]",30
73,"[[13.0, 21.5], [23.0, 23.5]]",30
74,"[[12.5, 19.0]]",30
75,"[[15.0, 18.0]]",30
76,"[[14.0, 19.5]]",30
77,"[[15.5, 21.5], [23.0, 23.5]]",50
78,"[[13.0, 20.0]]",50
79,"[[10.0, 23.5]]",30
80,"[[14.5, 16.0]]",30
81,"[[10.0, 16.5], [17.0, 23.0]]",50
82,"[[7.0, 23.0]]",30
83,"[[20.0, 20.5]]",30
84,"[[15.5, 22.5], [23.5, 24.0]]",30
85,"[[9.5, 21.5]]",30
86,"[[15.0, 20.5]]",30
87,"[[9.0, 19.0]]",30
88,"[[15.0, 17.0]]",30
89,"[[8.0, 22.0]]",50
90,"[[13.0, 21.5]]",50
91,"[[13.0, 20.5]]",50
92,"[[12.5, 15.0], [15.5, 21.5]]",30
93,"[[13.5, 23.0], [23.5, 24.0]]",30
94,"[[6.5, 17.0], [20.5, 21.0]]",30
95,"[[7.5, 15.0], [15.0, 15.5]]",50
96,"[[10.0, 19.5]]",30
97,"[[6.5, 16.5]]",50
98,"[[13.0, 23.0]]",30
99,"[[9.0, 21.5]]",100
100,"[[15.5, 20.0]]",30
101,"[[6.0, 21.0], [21.5, 23.0]]",100
102,"[[10.0, 23.0], [23.5, 24.0]]",50
103,"[[14.5, 20.5]]",30
104,"[[6.0, 14.0]]",30
105,"[[8.5, 13.0]]",30
106,"[[7.0, 22.5]]",30
107,"[[10.5, 13.5]]",30
108,"[[10.5, 21.0]]",30
109,"[[9.0, 22.5]]",50
110,"[[14.0, 23.0], [23.0, 23.5]]",30
111,"[[9.5, 20.5]]",30
112,"[[14.0, 23.5]]",100
113,"[[7.0, 23.5]]",100
114,"[[13.0, 14.0]]",30
115,"[[13.5, 19.0]]",30
116,"[[10.5, 16.5], [19.5, 23.0]]",30
117,"[[9.5, 12.0], [14.5, 22.0]]",30
118,"[[11.0, 22.5]]",30
119,"[[12.5, 22.0], [23.5, 24.0]]",30
120,"[[12.0, 23.5], [23.5, 24.0]]",30
121,"[[8.0, 17.0], [17.5, 22.0]]",50
122,"[[15.0, 18.5], [20.0, 22.0]]",30
123,"[[15.0, 21.0]]",50
124,"[[10.0, 19.0]]",30
125,"[[15.5, 16.0]]",30
126,"[[9.5, 16.0]]",30
127,"[[9.0, 23.5]]",50
128,"[[9.5, 19.0]]",30
129,"[[14.5, 22.0]]",30
130,"[[7.5, 20.0]]",30
131,"[[6.5, 14.5]]",100
132,"[[11.5, 19.5]]",30
133,"[[6.0, 15.0], [15.0, 20.0]]",30
134,"[[7.5, 17.5]]",100
135,"[[14.0, 23.0]]",30
136,"[[9.0, 13.5]]",30
137,"[[14.5, 20.0]]",30
138,"[[12.5, 23.5], [23.5, 24.0]]",50
139,"[[8.0, 22.5]]",30
140,"[[10.5, 23.0], [23.0, 23.5]]",30
141,"[[13.0, 20.5]]",30
142,"[[11.0, 19.5], [20.5, 23.5]]",30
143,"[[8.0, 21.0]]",30
144,"[[15.5, 21.0]]",100
145,"[[9.5, 14.5]]",30
146,"[[14.5, 21.5]]",50
147,"[[14.5, 23.5]]",30
148,"[[6.5, 21.0]]",30
149,"[[10.5, 23.5], [23.5, 24.0]]",30
150,"[[8.5, 20.0], [20.5, 23.0]]",30
151,"[[15.5, 16.0]]",30
152,"[[11.5, 20.5]]",30
153,"[[8.5, 21.5]]",30
154,"[[11.5, 20.5]]",30
155,"[[17.0, 22.0]]",50
156,"[[13.5, 14.0]]",30
157,"[[15.5, 16.0]]",30
158,"[[10.5, 21.0], [22.0, 22.5]]",30
159,"[[9.0, 17.0]]",50
160,"[[11.0, 19.5]]",30
161,"[[10.5, 22.5], [22.5, 23.5]]",50
162,"[[12.0, 19.5]]",30
163,"[[14.0, 22.0], [23.0, 23.5]]",30
164,"[[13.5, 21.5], [23.5, 24.0]]",30
165,"[[11.5, 15.0]]",30
